chrom	source	feature	start	end	score	strand	frame	sample_id	vaf	autosome	notch_vaf	color	order
2R	findcluster	297	19420179	19420184	4	+	.	KD-8-tumor	0.09523809523809523	True	0.4335580573516804	other	55
3L	findcluster	copia	5704139	5704144	3	+	.	KD-8-tumor	0.10526315789473684	True	0.4335580573516804	other	56
3R	findcluster	roo	20060921	20060925	4	+	.	KD-8-tumor	0.10666666666666667	True	0.4335580573516804	other	57
3R	findcluster	297	21601987	21601991	4	+	.	KD-8-tumor	0.11428571428571428	True	0.4335580573516804	other	58
Y	findcluster	Tc3	501595	501612	1	+	.	KD-8-tumor	0.125	False	0.4335580573516804	other	59
3R	findcluster	S-element	3749666	3749677	2	+	.	KD-8-tumor	0.12903225806451613	True	0.4335580573516804	other	60
2L	findcluster	297	2734465	2734470	4	+	.	KD-8-tumor	0.14285714285714285	True	0.4335580573516804	other	61
2R	findcluster	HMS-Beagle	20459725	20459750	4	+	.	KD-8-tumor	0.15384615384615385	True	0.4335580573516804	other	62
3R	findcluster	copia	9919653	9919658	10	+	.	KD-8-tumor	0.17094017094017094	True	0.4335580573516804	other	63
3R	findcluster	copia	5080025	5080030	5	+	.	KD-8-tumor	0.17857142857142858	True	0.4335580573516804	other	64
3L	findcluster	opus	15227866	15227891	7	+	.	KD-8-tumor	0.18181818181818182	True	0.4335580573516804	other	65
3L	findcluster	mdg1	23034817	23034839	6	+	.	KD-8-tumor	0.18604651162790697	True	0.4335580573516804	other	66
2R	findcluster	copia	20125213	20125217	8	+	.	KD-8-tumor	0.18823529411764706	True	0.4335580573516804	other	67
2R	findcluster	copia	25000927	25000932	10	+	.	KD-8-tumor	0.20833333333333334	True	0.4335580573516804	other	68
3L	findcluster	copia	18189265	18189269	6	+	.	KD-8-tumor	0.23076923076923078	True	0.4335580573516804	other	69
X	findcluster	Tabor	10317207	10317226	7	+	.	KD-8-tumor	0.25	False	0.4335580573516804	other	70
X	findcluster	Tabor	4914962	4914984	9	+	.	KD-8-tumor	0.2558139534883721	False	0.4335580573516804	other	71
2L	findcluster	I-element	15481783	15481796	6	+	.	KD-8-tumor	0.32432432432432434	True	0.4335580573516804	other	72
3L	findcluster	roo	13498629	13498634	12	+	.	KD-8-tumor	0.4067796610169492	True	0.4335580573516804	other	73
2R	findcluster	Stalker4	23141102	23141151	2	+	.	BD-10-tumor	0.03571428571428571	True	0.8714857716679917	other	96
X	findcluster	jockey	19247074	19247085	2	+	.	BD-10-tumor	0.04	False	0.8714857716679917	other	97
3R	findcluster	gypsy4	4175202	4175237	2	+	.	BD-10-tumor	0.042105263157894736	True	0.8714857716679917	other	98
3R	findcluster	invader4	30528541	30528559	2	+	.	BD-10-tumor	0.04938271604938271	True	0.8714857716679917	other	99
X	findcluster	opus	2898246	2898262	2	+	.	BD-10-tumor	0.06382978723404255	False	0.8714857716679917	other	100
4	findcluster	R1A1-element	629946	629960	2	+	.	BD-10-tumor	0.07692307692307693	False	0.8714857716679917	other	101
3R	findcluster	baggins	3006580	3006615	1	+	.	BD-10-tumor	0.0851063829787234	True	0.8714857716679917	other	102
2R	findcluster	Tabor	18952594	18952617	2	+	.	BD-10-tumor	0.09523809523809523	True	0.8714857716679917	other	103
3L	findcluster	diver	23261708	23261733	2	+	.	BD-10-tumor	0.09523809523809523	True	0.8714857716679917	other	104
2R	findcluster	GATE	7883783	7883806	3	+	.	BD-10-tumor	0.10909090909090909	True	0.8714857716679917	other	105
2R	findcluster	blood	7492485	7492488	6	+	.	BD-10-tumor	0.11009174311926606	True	0.8714857716679917	other	106
3L	findcluster	opus	24602361	24602392	1	+	.	BD-10-tumor	0.11428571428571428	True	0.8714857716679917	other	107
3R	findcluster	copia	21840182	21840186	6	+	.	BD-10-tumor	0.12121212121212122	True	0.8714857716679917	other	108
2R	findcluster	HMS-Beagle	20459725	20459750	5	+	.	BD-10-tumor	0.17777777777777778	True	0.8714857716679917	other	109
3R	findcluster	copia	17712129	17712134	3	+	.	BD-10-tumor	0.20689655172413793	True	0.8714857716679917	other	110
3L	findcluster	copia	19896041	19896046	8	+	.	BD-10-tumor	0.2711864406779661	True	0.8714857716679917	other	111
X	findcluster	roo	7587820	7587824	9	+	.	BD-10-tumor	0.2727272727272727	False	0.8714857716679917	other	112
3R	findcluster	Tabor	26090445	26090476	2	+	.	BD-10-tumor	0.2857142857142857	True	0.8714857716679917	other	113
Y	findcluster	mdg1	50331	50347	10	+	.	BD-10-tumor	0.2926829268292683	False	0.8714857716679917	other	114
3L	findcluster	opus	15227866	15227891	9	+	.	BD-10-tumor	0.2988505747126437	True	0.8714857716679917	other	115
2R	findcluster	copia	21139893	21139900	10	+	.	BD-10-tumor	0.30303030303030304	True	0.8714857716679917	other	116
2R	findcluster	mdg1	10529562	10529584	5	+	.	BD-10-tumor	0.3137254901960784	True	0.8714857716679917	other	117
2L	findcluster	INE-1	22241999	22242044	1	+	.	BD-09-tumor	0.0449438202247191	True	50.0	other	138
2L	findcluster	Porto1	22567924	22567951	2	+	.	BD-09-tumor	0.07017543859649122	True	50.0	other	139
2R	findcluster	copia	6168158	6168163	2	+	.	BD-09-tumor	0.08	True	50.0	other	140
X	findcluster	jockey	5435174	5435187	2	+	.	BD-09-tumor	0.08	False	50.0	other	141
X	findcluster	mdg1	4441300	4441325	3	+	.	BD-09-tumor	0.09803921568627451	False	50.0	other	142
2R	findcluster	297	17274399	17274403	2	+	.	BD-09-tumor	0.10526315789473684	True	50.0	other	143
X	findcluster	opus	5211440	5211460	4	+	.	BD-09-tumor	0.10909090909090909	False	50.0	other	144
3L	findcluster	297	12093322	12093327	2	+	.	BD-09-tumor	0.11428571428571428	True	50.0	other	145
2L	findcluster	297	11174969	11174974	2	+	.	BD-09-tumor	0.12121212121212122	True	50.0	other	146
2R	findcluster	blood	15764850	15764853	3	+	.	BD-09-tumor	0.13953488372093023	True	50.0	other	147
X	findcluster	opus	12677176	12677199	4	+	.	BD-09-tumor	0.15384615384615385	False	50.0	other	148
2R	findcluster	opus	12783011	12783034	8	+	.	BD-09-tumor	0.18604651162790697	True	50.0	other	149
3R	findcluster	Doc	29256440	29256443	13	+	.	BD-09-tumor	0.203125	True	50.0	other	150
X	findcluster	mdg1	5394259	5394290	2	+	.	BD-09-tumor	0.21428571428571427	False	50.0	other	151
2R	findcluster	297	20316111	20316115	4	+	.	BD-09-tumor	0.2222222222222222	True	50.0	other	152
2L	findcluster	297	11209241	11209246	6	+	.	BD-09-tumor	0.24	True	50.0	other	153
2R	findcluster	Doc	16826956	16826968	15	+	.	BD-09-tumor	0.4411764705882353	True	50.0	other	154
3R	findcluster	Tabor	9101071	9101098	12	+	.	BD-09-tumor	0.47619047619047616	True	50.0	other	155
X	findcluster	copia	3135641	3135647	7	+	.	BD-09-tumor	1.0	False	50.0	other	156
